DateTime,Geopolitics,Climate Policy,New Energy,Green Bond,Carbon Price,Crude Oil,Natural Gas,Coke
2020-07-03,0.9271344542503357,0.930812459369504,1870.6598,169.459,38.81,298.6,2534.0,2030.0
2020-07-06,0.9271344542503357,0.982171712836166,1960.2764,169.1025,34.93,296.8,2527.0,2030.0
2020-07-07,0.9271344542503357,1.29600325303541,2015.5145,168.7829,38.42,297.6,2522.0,2030.0
2020-07-08,0.9271344542503357,0.961428000478628,2058.1051,168.6175,38.42,298.9,2524.0,2030.0
2020-07-09,0.9271344542503357,0.964267329685588,2103.3294,168.2955,41.5,299.1,2524.0,2178.0
2020-07-10,0.9271344542503357,1.03501653427524,2080.4132,168.2741,41.5,293.9,2526.0,2153.0
2020-07-13,0.9271344542503357,0.877660370739242,2186.9003,168.1303,41.5,296.1,2519.0,2153.0
2020-07-14,0.9271344542503357,0.8862737696399,2135.9057,168.0328,41.5,292.9,2519.0,2112.0
2020-07-15,0.9271344542503357,1.31948010752438,2099.36,168.0067,41.5,294.5,2519.0,2058.0
2020-07-16,0.9271344542503357,1.12430477448311,1990.6653,168.1028,41.5,292.8,2516.0,2058.0
2020-07-17,0.9271344542503357,1.05689360689136,1992.5575,168.1674,41.5,289.9,2516.0,2160.0
2020-07-20,0.9271344542503357,1.35940946571913,2075.2654,168.2745,40.81,283.7,2534.0,2160.0
2020-07-21,0.9271344542503357,1.65561320743014,2090.6945,168.5757,40.81,284.7,2535.0,2160.0
2020-07-22,0.9271344542503357,1.31648767444077,2094.4549,168.7805,40.81,288.9,2535.0,2160.0
2020-07-23,0.9271344542503357,1.55405084475025,2144.7212,168.9005,36.73,286.5,2535.0,2175.5
2020-07-24,0.9271344542503357,1.19850885861385,2029.8558,169.1191,40.38,285.6,2538.0,2175.5
2020-07-27,0.9271344542503357,1.07429675944542,2037.54,169.2108,40.38,281.9,2547.0,2135.0
2020-07-28,0.9271344542503357,0.877614195984268,2049.3155,169.1004,40.32,283.1,2543.0,2135.0
2020-07-29,0.9271344542503357,1.39180335094791,2111.1471,169.105,40.36,276.5,2556.0,2135.0
2020-07-30,0.9271344542503357,1.50872694455294,2150.2397,169.114,40.73,279.1,2553.0,2135.0
2020-07-31,0.9271344542503357,1.00148709049286,2181.245,169.0296,40.68,277.3,2548.0,2135.0
2020-08-03,0.6634311676025391,0.992524325685691,2220.6669,169.0275,40.8,281.9,2544.0,2135.0
