指标名称,中债-中国绿色债券指数,期货结算价(连续):INE原油,中国:碳市场碳排放配额(CEA):最新价,中国:碳市场碳排放配额(CEA):成交量,中国液化天然气出厂价格指数,期货结算价(连续):焦炭,期货结算价(连续):焦煤
2010/12/27,104.1228,,,,,,
2010/12/28,104.0604,,,,,,
2010/12/29,104.1043,,,,,,
2010/12/30,104.1721,,,,,,
2010/12/31,104.3004,,,,,,
2011/1/4,104.4994,,,,,,
2011/1/5,104.7138,,,,,,
2011/1/6,104.8624,,,,,,
2011/1/7,104.9669,,,,,,
2011/1/10,104.9523,,,,,,
2011/1/11,104.9109,,,,,,
2011/1/12,104.9527,,,,,,
2011/1/13,104.8809,,,,,,
2011/1/14,104.7913,,,,,,
2011/1/17,104.6852,,,,,,
2011/1/18,104.5084,,,,,,
2011/1/19,104.5117,,,,,,
2011/1/20,104.3996,,,,,,
2011/1/21,104.4161,,,,,,
2011/1/24,104.4029,,,,,,
2011/1/25,104.3587,,,,,,
2011/1/26,104.3496,,,,,,
2011/1/27,104.3564,,,,,,
2011/1/28,104.3204,,,,,,
2011/1/30,104.3513,,,,,,
2011/1/31,104.3407,,,,,,
2011/2/1,104.3977,,,,,,
2011/2/9,104.1861,,,,,,
2011/2/10,104.0478,,,,,,
2011/2/11,103.8808,,,,,,
2011/2/12,103.8336,,,,,,
2011/2/14,103.8994,,,,,,
2011/2/15,103.8978,,,,,,
2011/2/16,103.8431,,,,,,
2011/2/17,103.9071,,,,,,
2011/2/18,103.9247,,,,,,
2011/2/21,103.7487,,,,,,
2011/2/22,103.7404,,,,,,
2011/2/23,103.7642,,,,,,
2011/2/24,103.9249,,,,,,
2011/2/25,103.8924,,,,,,
2011/2/28,103.9745,,,,,,
2011/3/1,103.9689,,,,,,
2011/3/2,104.0153,,,,,,
2011/3/3,104.0519,,,,,,
2011/3/4,104.055,,,,,,
2011/3/7,104.0996,,,,,,
2011/3/8,104.1345,,,,,,
2011/3/9,104.2409,,,,,,
2011/3/10,104.1648,,,,,,
2011/3/11,104.1505,,,,,,
2011/3/14,104.1799,,,,,,
2011/3/15,104.2468,,,,,,
2011/3/16,104.256,,,,,,
2011/3/17,104.3844,,,,,,
2011/3/18,104.4356,,,,,,
2011/3/21,104.4323,,,,,,
2011/3/22,104.457,,,,,,
2011/3/23,104.4989,,,,,,
2011/3/24,104.5076,,,,,,
2011/3/25,104.5027,,,,,,
2011/3/28,104.486,,,,,,
2011/3/29,104.5299,,,,,,
2011/3/30,104.4705,,,,,,
2011/3/31,104.4441,,,,,,
2011/4/1,104.4424,,,,,,
2011/4/2,104.4561,,,,,,
2011/4/6,104.4579,,,,,,
2011/4/7,104.5044,,,,,,
2011/4/8,104.541,,,,,,
2011/4/11,104.5893,,,,,,
2011/4/12,104.6838,,,,,,
2011/4/13,104.75,,,,,,
