,新能源指数,新能源指数,绿色债券指数,碳价,INE原油,天然气价格,焦炭价格
2021-05-11,2992.7174,-0.015256676168124983,0.0004528279873419194,0.009455158770755201,-0.00686312006407519,0.03024965625368914,-0.036644767631149655
2021-05-12,2991.1288,-0.000530962857073547,0.00041247463851501465,-0.011958288988873633,-0.0011880718992829387,0.022850271548987777,-0.016581656117921284
2021-05-13,2923.9273,-0.02272316286419951,0.00016918586369119026,-0.0025094116054260596,0.019075110335331935,0.009211660910674269,0.005059506717294937
2021-05-14,2988.5975,0.021876535435383815,9.576371715080967e-05,0.0,-0.026472829313020974,0.010996490050168006,-0.048052118834896795
2021-05-15,2988.5975,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16,2988.5975,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-17,3093.5759,0.03452345719117922,0.00017258090776195445,-0.007566240383315659,0.01756930282985536,-0.0021361823877672492,0.010146428510429573
2021-05-18,3084.2267,-0.00302670957382567,8.943220872570379e-05,0.0,0.017728479251168494,-0.009130031197413402,0.07640723767904323
2021-05-19,3155.5937,0.022875694355969145,0.00030549971364113304,0.0,-0.006262342163524615,-0.008397719675155457,-0.03235226868367125
2021-05-20,3143.6336,-0.003797327450541843,0.0006594006796847296,0.0,-0.04594405531592649,-0.0013610999787427858,-0.08184009884198407
2021-05-21,3151.705,0.0025642479096212867,0.0005273221404822337,0.00025313251622316457,-0.016703901033587876,0.0002723682435465946,-0.016875464008919927
2021-05-22,3151.705,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-23,3151.705,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-24,3167.9874,0.005152920426413132,0.0005836806494183833,0.0,0.016703901033587876,-0.0024539889615660115,0.017278608541693607
2021-05-25,3204.7139,0.01152632294590461,0.0001727499043298053,0.007564332588926526,0.025969240092488022,0.0013640705975408451,0.00020151133569434876
2021-05-26,3155.6416,-0.01543098455262637,0.00025678162408215854,0.0,0.012970350442627065,0.0,-0.008092295829240648
2021-05-27,3170.8502,0.004807918757414598,0.0001069252390610842,-0.00781746510514969,-0.017013642905456372,0.0029944217284185726,0.013718189711409146
2021-05-28,3267.0165,0.029877429288994506,-2.9732073991262098e-05,0.007566240383315659,0.02215504240587496,0.0002717760582022777,-0.006633856874473487
2021-05-29,3267.0165,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-30,3267.0165,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-31,3424.162,0.046979587133149536,0.00015150999751956107,0.0,-0.04019088058324538,0.005690301223179262,0.015808233150514717
2021-06-01,3382.8485,-0.012138664185799897,9.146662160652852e-05,0.0,0.05453965719696097,-0.005962077281381539,-0.07929849390100241
2021-06-02,3359.6355,-0.006885620110937296,0.00013204017813173152,0.0,0.012785562296972586,0.020180962041679962,0.069322353701474
2021-06-03,3302.2034,-0.017242543315957093,0.0001857412983401474,0.0,0.009258279973290762,0.006637486203034726,0.0
2021-06-04,3355.5794,0.01603451034793757,-5.200408604721929e-05,-0.0017603424638843457,-0.0038284023789216803,0.002114724552306768,0.0
2021-06-05,3355.5794,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-06,3355.5794,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-07,3295.7625,-0.01798690056746466,-0.00029264484270807856,0.0,0.010102229813846009,-0.0010568032687654494,0.0
