,地缘政治风险指数（GPR China）,气候政策风险指数（CCPU）,绿色债券指数,INE原油,碳市场碳排放配额价格,天然气出厂价格指数,焦煤期货价格
2021-10-13,0.761751115322113,2.60417323141551,1.0078961994098488,1.2041049030786772,0.8721452274058169,1.4248154981549817,2.008324661810614
2021-10-14,0.761751115322113,2.10811064930594,1.007694356134085,1.1872291904218928,0.8580909623267617,1.4478782287822878,2.008324661810614
2021-10-15,0.761751115322113,1.94315843674456,1.0069491756370077,1.1977194982896238,0.8569197735701738,1.4614852398523985,2.076222684703434
2021-10-16,0.761751115322113,2.32647529525123,1.0069491756370077,1.1977194982896238,0.8569197735701738,1.4614852398523985,2.076222684703434
2021-10-17,0.761751115322113,1.3030221514341,1.0069491756370077,1.1977194982896238,0.8569197735701738,1.4614852398523985,2.076222684703434
2021-10-18,0.761751115322113,1.79082253741833,1.0059523977793847,1.2180159635119727,0.8479406597696663,1.4976937269372694,2.078563995837669
2021-10-19,0.761751115322113,1.97945778015927,1.005391533550932,1.2091220068415052,0.8477454616435682,1.5124538745387455,2.078563995837669
2021-10-20,0.761751115322113,2.12185391018103,1.0057047581301284,1.2088939566704675,0.8440366972477065,1.5285977859778597,2.078563995837669
2021-10-21,0.761751115322113,1.95273864854249,1.0060225058079413,1.2118586088939567,0.8399375365996488,1.53690036900369,1.9778876170655566
2021-10-22,0.761751115322113,2.37157179242243,1.0063645651408182,1.2045610034207526,0.8391567440952568,1.5493542435424354,1.882414151925078
2021-10-23,0.761751115322113,2.47027192376158,1.0063645651408182,1.2045610034207526,0.8391567440952568,1.5493542435424354,1.882414151925078
2021-10-24,0.761751115322113,1.52945053613819,1.0063645651408182,1.2045610034207526,0.8391567440952568,1.5493542435424354,1.882414151925078
2021-10-25,0.761751115322113,2.24996515529794,1.0068078288052404,1.2031927023945268,0.8440366972477065,1.5830258302583027,1.9648803329864724
2021-10-26,0.761751115322113,2.15419650683353,1.0073330736320878,1.2034207525655645,0.8325200078079251,1.6074723247232472,1.9924557752341312
2021-10-27,0.761751115322113,3.24387266729963,1.007335335181396,1.1927023945267958,0.8317392153035331,1.628920664206642,1.9399063475546305
2021-10-28,0.761751115322113,2.71463272451641,1.0077650295499687,1.16442417331813,0.834862385321101,1.654520295202952,1.7991675338189386
